architecture,workload,gpu_model,pcm_thickness_mm,melting_temp_c,peak_junction_temp,temp_amplitude,thermal_uniformity_index,time_above_throttling,tbu_max_melt_fraction,tbe_burst_endurance,tri_recovery_index,fatigue_lifetime_multiplier
No_PCM,LLM_Inference,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
No_PCM,LLM_Training,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
No_PCM,CNN_Inference,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
No_PCM,Mixed_Cloud_AI,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
Uniform_PCM,LLM_Inference,NVIDIA H100,0.1,55.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Inference,NVIDIA H100,0.1,60.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Inference,NVIDIA H100,0.1,65.0,81.6,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Inference,NVIDIA H100,0.1,70.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Inference,NVIDIA H100,0.1,75.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Inference,NVIDIA H100,0.15,55.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Inference,NVIDIA H100,0.15,60.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Inference,NVIDIA H100,0.15,65.0,82.2,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Inference,NVIDIA H100,0.15,70.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Inference,NVIDIA H100,0.15,75.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.25,55.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Inference,NVIDIA H100,0.25,60.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Inference,NVIDIA H100,0.25,65.0,83.4,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Inference,NVIDIA H100,0.25,70.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Inference,NVIDIA H100,0.25,75.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.1,55.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Training,NVIDIA H100,0.1,60.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Training,NVIDIA H100,0.1,65.0,81.6,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Training,NVIDIA H100,0.1,70.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Training,NVIDIA H100,0.1,75.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,LLM_Training,NVIDIA H100,0.15,55.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Training,NVIDIA H100,0.15,60.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Training,NVIDIA H100,0.15,65.0,82.2,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Training,NVIDIA H100,0.15,70.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Training,NVIDIA H100,0.15,75.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.25,55.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Training,NVIDIA H100,0.25,60.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Training,NVIDIA H100,0.25,65.0,83.4,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Training,NVIDIA H100,0.25,70.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Training,NVIDIA H100,0.25,75.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.1,55.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,CNN_Inference,NVIDIA H100,0.1,60.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,CNN_Inference,NVIDIA H100,0.1,65.0,81.6,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,CNN_Inference,NVIDIA H100,0.1,70.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,CNN_Inference,NVIDIA H100,0.1,75.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,CNN_Inference,NVIDIA H100,0.15,55.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,CNN_Inference,NVIDIA H100,0.15,60.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,CNN_Inference,NVIDIA H100,0.15,65.0,82.2,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,CNN_Inference,NVIDIA H100,0.15,70.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,CNN_Inference,NVIDIA H100,0.15,75.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.25,55.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,CNN_Inference,NVIDIA H100,0.25,60.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,CNN_Inference,NVIDIA H100,0.25,65.0,83.4,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,CNN_Inference,NVIDIA H100,0.25,70.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,CNN_Inference,NVIDIA H100,0.25,75.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.1,55.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.1,60.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.1,65.0,81.6,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.1,70.0,82.3,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.1,75.0,83.1,12.8,4.96,6.8,0.77,30,16.2,2.51
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.15,55.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.15,60.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.15,65.0,82.2,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.15,70.0,83.0,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.15,75.0,83.7,13.4,5.08,7.4,0.7,29,17.1,2.22
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.25,55.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.25,60.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.25,65.0,83.4,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.25,70.0,84.1,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.25,75.0,84.9,14.6,5.32,8.6,0.55,26,18.9,1.76
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
