architecture,workload,gpu_model,pcm_thickness_mm,melting_temp_c,peak_junction_temp,temp_amplitude,thermal_uniformity_index,time_above_throttling,tbu_max_melt_fraction,tbe_burst_endurance,tri_recovery_index,fatigue_lifetime_multiplier
No_PCM,LLM_Inference,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
No_PCM,LLM_Training,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
No_PCM,CNN_Inference,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
No_PCM,Mixed_Cloud_AI,NVIDIA H100,0.0,0.0,86.4,18.0,7.4,14.0,0.0,14,22.0,1.0
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Inference,NVIDIA H100,0.4,55.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Inference,NVIDIA H100,0.4,60.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Inference,NVIDIA H100,0.4,65.0,85.2,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Inference,NVIDIA H100,0.4,70.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Inference,NVIDIA H100,0.4,75.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Inference,NVIDIA H100,0.5,55.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Inference,NVIDIA H100,0.5,60.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Inference,NVIDIA H100,0.5,65.0,86.4,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Inference,NVIDIA H100,0.5,70.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Inference,NVIDIA H100,0.5,75.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Inference,NVIDIA H100,0.6,55.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Inference,NVIDIA H100,0.6,60.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Inference,NVIDIA H100,0.6,65.0,87.6,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Inference,NVIDIA H100,0.6,70.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Inference,NVIDIA H100,0.6,75.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,LLM_Training,NVIDIA H100,0.4,55.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Training,NVIDIA H100,0.4,60.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Training,NVIDIA H100,0.4,65.0,85.2,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Training,NVIDIA H100,0.4,70.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Training,NVIDIA H100,0.4,75.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,LLM_Training,NVIDIA H100,0.5,55.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Training,NVIDIA H100,0.5,60.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Training,NVIDIA H100,0.5,65.0,86.4,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Training,NVIDIA H100,0.5,70.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Training,NVIDIA H100,0.5,75.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,LLM_Training,NVIDIA H100,0.6,55.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Training,NVIDIA H100,0.6,60.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Training,NVIDIA H100,0.6,65.0,87.6,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Training,NVIDIA H100,0.6,70.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,LLM_Training,NVIDIA H100,0.6,75.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,CNN_Inference,NVIDIA H100,0.4,55.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,CNN_Inference,NVIDIA H100,0.4,60.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,CNN_Inference,NVIDIA H100,0.4,65.0,85.2,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,CNN_Inference,NVIDIA H100,0.4,70.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,CNN_Inference,NVIDIA H100,0.4,75.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,CNN_Inference,NVIDIA H100,0.5,55.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,CNN_Inference,NVIDIA H100,0.5,60.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,CNN_Inference,NVIDIA H100,0.5,65.0,86.4,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,CNN_Inference,NVIDIA H100,0.5,70.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,CNN_Inference,NVIDIA H100,0.5,75.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,CNN_Inference,NVIDIA H100,0.6,55.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,CNN_Inference,NVIDIA H100,0.6,60.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,CNN_Inference,NVIDIA H100,0.6,65.0,87.6,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,CNN_Inference,NVIDIA H100,0.6,70.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,CNN_Inference,NVIDIA H100,0.6,75.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,55.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,60.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,65.0,82.8,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,70.0,83.5,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.2,75.0,84.3,14.0,5.2,8.0,0.62,28,18.0,1.97
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,55.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,60.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,65.0,84.0,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,70.0,84.8,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.3,75.0,85.5,15.2,5.44,9.2,0.47,25,19.8,1.58
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.4,55.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.4,60.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.4,65.0,85.2,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.4,70.0,86.0,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.4,75.0,86.7,16.4,5.68,10.4,0.32,23,21.6,1.29
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.5,55.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.5,60.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.5,65.0,86.4,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.5,70.0,87.1,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.5,75.0,87.9,17.6,5.92,11.6,0.2,20,23.4,1.06
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.6,55.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.6,60.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.6,65.0,87.6,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.6,70.0,88.3,18.8,6.16,12.8,0.2,18,25.2,0.89
Uniform_PCM,Mixed_Cloud_AI,NVIDIA H100,0.6,75.0,89.1,18.8,6.16,12.8,0.2,18,25.2,0.89
